,0.8,0.9,0.95,0.99,0.999,0.99999
1e-08,435,474,545,982,2330,2925
0.0001,435,474,545,982,2330,2925
0.01,435,474,545,981,2330,2925
0.1,437,471,543,980,2328,2923
0.3,441,472,537,976,2323,2917
0.8,83637,33567,583,907,2266,2850
