,0.5,0.7,0.8,0.9,0.99
0.0001,51232,30710,20429,10081,2999
0.0005,10232,6110,4028,1865,2471
0.001,5107,3034,1976,807,1947
0.005,1007,571,311,247,1556
0.01,100000,100000,100000,100000,100000
