,0.5,0.7,0.8,0.9,0.99
0.0001,100000,40030,40048,40102,40901
0.0005,100000,100000,8043,8090,8759
0.001,100000,100000,4040,4084,4696
0.005,100000,100000,834,871,1337
0.01,100000,100000,432,465,848
