,0.5,0.7,0.8,0.9,0.99
0.0001,51222,30696,20413,10062,4199
0.0005,10222,6095,4011,1844,3963
0.001,5097,3020,1959,780,4152
0.005,996,555,281,428,4340
0.01,482,236,218,433,4220
