method,iterations,f(x)
"Momentum {'Momentum': {'lr': 0.005, 'beta': 0.9}, 'Nesterov': {'lr': 0.003, 'beta': 0.95}, 'AdaGrad': {'lr': 0.8}, 'RMSProp': {'lr': 0.1, 'rho': 0.9}, 'AdaDelta': {'rho': 0.99995}, 'Adam': {'lr': 0.1, 'beta1': 0.9, 'beta2': 0.99}}",430,1.8623328405358392e-19
"Nesterov {'Momentum': {'lr': 0.005, 'beta': 0.9}, 'Nesterov': {'lr': 0.003, 'beta': 0.95}, 'AdaGrad': {'lr': 0.8}, 'RMSProp': {'lr': 0.1, 'rho': 0.9}, 'AdaDelta': {'rho': 0.99995}, 'Adam': {'lr': 0.1, 'beta1': 0.9, 'beta2': 0.99}}",162,4.740249623167563e-19
"AdaGrad {'Momentum': {'lr': 0.005, 'beta': 0.9}, 'Nesterov': {'lr': 0.003, 'beta': 0.95}, 'AdaGrad': {'lr': 0.8}, 'RMSProp': {'lr': 0.1, 'rho': 0.9}, 'AdaDelta': {'rho': 0.99995}, 'Adam': {'lr': 0.1, 'beta1': 0.9, 'beta2': 0.99}}",27,6.612899183016789e-19
"RMSProp {'Momentum': {'lr': 0.005, 'beta': 0.9}, 'Nesterov': {'lr': 0.003, 'beta': 0.95}, 'AdaGrad': {'lr': 0.8}, 'RMSProp': {'lr': 0.1, 'rho': 0.9}, 'AdaDelta': {'rho': 0.99995}, 'Adam': {'lr': 0.1, 'beta1': 0.9, 'beta2': 0.99}}",47,1.4676823946480455e-19
"AdaDelta {'Momentum': {'lr': 0.005, 'beta': 0.9}, 'Nesterov': {'lr': 0.003, 'beta': 0.95}, 'AdaGrad': {'lr': 0.8}, 'RMSProp': {'lr': 0.1, 'rho': 0.9}, 'AdaDelta': {'rho': 0.99995}, 'Adam': {'lr': 0.1, 'beta1': 0.9, 'beta2': 0.99}}",121,4.164282685725537e-19
"Adam {'Momentum': {'lr': 0.005, 'beta': 0.9}, 'Nesterov': {'lr': 0.003, 'beta': 0.95}, 'AdaGrad': {'lr': 0.8}, 'RMSProp': {'lr': 0.1, 'rho': 0.9}, 'AdaDelta': {'rho': 0.99995}, 'Adam': {'lr': 0.1, 'beta1': 0.9, 'beta2': 0.99}}",444,8.140390630858474e-20
