,0.5,0.7,0.8,0.9,0.99
0.0001,52088,31215,20758,10232,2516
0.0005,10394,6198,4079,1875,3167
0.001,5183,3071,1992,793,3282
0.005,1013,564,286,345,3153
0.01,491,240,151,340,2338
