,0.5,0.7,0.8,0.9,0.99
0.0001,100000,100000,40049,40106,40948
0.0005,100000,100000,8044,8093,8802
0.001,100000,100000,4042,4087,4738
0.005,100000,100000,837,874,1375
0.01,100000,100000,100000,468,884
