method,iterations,f(x)
"Momentum {'lr': 0.005, 'beta': 0.9}",345,2.010060923771054e-18
"Nesterov {'lr': 0.003, 'beta': 0.95}",585,9.753211177209758e-18
AdaGrad {'lr': 0.8},187,2.0663323683273022e-17
"RMSProp {'lr': 0.5, 'rho': 0.9}",24,2.208045601982993e-19
AdaDelta {'rho': 0.9999999},6,2.4533928527500763e-19
"Adam {'lr': 1, 'beta1': 0.9, 'beta2': 0.99}",327,1.8500145425041165e-17
