method,param_set,start_point,params,iterations,f(x)
RMSProp,2,5,"{'lr': 0.3, 'rho': 0.99}",100000,0.02008928762428204
AdaDelta,0,0,{'rho': 0.9},100000,1.354909520606911
AdaDelta,0,1,{'rho': 0.9},100000,1.2408483436800346
AdaDelta,0,2,{'rho': 0.9},100000,1.24234203976733
AdaDelta,0,3,{'rho': 0.9},100000,1.2333206881058025
AdaDelta,0,4,{'rho': 0.9},100000,1.2392608554472373
AdaDelta,0,5,{'rho': 0.9},100000,1.3377445370363237
AdaDelta,1,0,{'rho': 0.99},100000,0.58522355381057
AdaDelta,1,1,{'rho': 0.99},100000,0.5540820715626281
AdaDelta,1,2,{'rho': 0.99},100000,0.545051778535655
AdaDelta,1,3,{'rho': 0.99},100000,0.45540837193606226
AdaDelta,1,4,{'rho': 0.99},100000,0.4751006800265908
AdaDelta,1,5,{'rho': 0.99},100000,0.5001484447518958
AdaDelta,2,0,{'rho': 0.99995},100000,4.050482263086522e-06
AdaDelta,2,1,{'rho': 0.99995},49478,8.089345870942602e-17
AdaDelta,2,2,{'rho': 0.99995},71019,1.0872587615843342e-16
AdaDelta,2,3,{'rho': 0.99995},84940,1.2416912879455207e-16
AdaDelta,2,4,{'rho': 0.99995},49889,8.034980355276673e-17
AdaDelta,2,5,{'rho': 0.99995},100000,1.315360052330514e-05
Adam,0,0,"{'lr': 0.01, 'beta1': 0.9, 'beta2': 0.99}",100000,8.514839916541576e-06
Adam,0,1,"{'lr': 0.01, 'beta1': 0.9, 'beta2': 0.99}",100000,6.175758673337875e-05
Adam,0,2,"{'lr': 0.01, 'beta1': 0.9, 'beta2': 0.99}",100000,2.1027345249124568e-05
Adam,0,3,"{'lr': 0.01, 'beta1': 0.9, 'beta2': 0.99}",100000,4.851522959777252e-07
Adam,0,4,"{'lr': 0.01, 'beta1': 0.9, 'beta2': 0.99}",100000,2.9961506093639307e-05
Adam,0,5,"{'lr': 0.01, 'beta1': 0.9, 'beta2': 0.99}",100000,7.075924733565297e-07
Adam,1,0,"{'lr': 0.1, 'beta1': 0.9, 'beta2': 0.99}",100000,0.003960700580278669
Adam,1,1,"{'lr': 0.1, 'beta1': 0.9, 'beta2': 0.99}",100000,0.0030569007047117915
Adam,1,2,"{'lr': 0.1, 'beta1': 0.9, 'beta2': 0.99}",100000,0.00515086655669666
Adam,1,3,"{'lr': 0.1, 'beta1': 0.9, 'beta2': 0.99}",100000,0.00033008587520397216
Adam,1,4,"{'lr': 0.1, 'beta1': 0.9, 'beta2': 0.99}",100000,0.0012460026504571785
Adam,1,5,"{'lr': 0.1, 'beta1': 0.9, 'beta2': 0.99}",100000,0.01832105055322362
Adam,2,0,"{'lr': 0.3, 'beta1': 0.95, 'beta2': 0.999}",4769,7.925100571226121e-17
Adam,2,1,"{'lr': 0.3, 'beta1': 0.95, 'beta2': 0.999}",2179,8.732393940435685e-17
Adam,2,2,"{'lr': 0.3, 'beta1': 0.95, 'beta2': 0.999}",2618,9.899524844136799e-17
Adam,2,3,"{'lr': 0.3, 'beta1': 0.95, 'beta2': 0.999}",2819,1.1911037159976284e-16
Adam,2,4,"{'lr': 0.3, 'beta1': 0.95, 'beta2': 0.999}",2199,8.703454205818714e-17
Adam,2,5,"{'lr': 0.3, 'beta1': 0.95, 'beta2': 0.999}",4629,7.994457499074788e-17
